t_p	t_off	vol_flow	p_control	gamma_global	gamma_local[0]	gamma_local[1]	gamma_local[2]	gamma_local[3]	gamma_local[4]	gamma_local[5]	gamma_local[6]	gamma_local[7]
0.015	0.003	59.69454005333655	0.36063955975040507	0.7435298969072165	0.9972	0.9932	0.9386	0.9762	0.944	0.5846	0.4704	0.6704
0.015	0.005	59.82204716967023	0.39684717586159074	0.7729690721649483	1.0	0.9938	0.9496	0.9736	0.9484	0.6394	0.5356	0.6884
0.015	0.007	59.7775687918213	0.4416659878139194	0.785741237113402	0.9998	0.9952	0.9578	0.9816	0.9604	0.6132	0.5852	0.7122
0.015	0.009000000000000001	59.688589816654236	0.4883912101499147	0.8066979381443299	0.9994	0.9952	0.9632	0.9796	0.9638	0.6406	0.6404	0.729
0.015	0.011	59.84096920815973	0.5353055237550342	0.820819587628866	0.9914	0.9964	0.9176	0.9884	0.9704	0.6974	0.6602	0.7492
0.015	0.013000000000000001	59.682231681299434	0.5881691962675585	0.8434463917525773	0.999	0.9956	0.9596	0.988	0.9796	0.7406	0.691	0.764
0.015	0.015	59.56472521850947	0.6502240523817368	0.8431350515463917	0.9942	0.9954	0.8872	0.9894	0.9792	0.7668	0.709	0.7464
0.015	0.017	59.685213941594945	0.7055462686576557	0.8510340206185565	0.9964	0.993	0.9648	0.9894	0.978	0.7648	0.7152	0.7374
0.015	0.019000000000000003	59.8627211407602	0.8339497876277961	0.857079381443299	0.995	0.9938	0.9244	0.9892	0.985	0.8038	0.7198	0.748
0.015	0.021	60.022022108907045	0.8330874974476773	0.8597845360824742	0.9946	0.9946	0.965	0.9874	0.9832	0.8174	0.71	0.7358
0.015	0.023	59.73791377167453	0.8954669329798639	0.8534422680412371	0.9948	0.9874	0.9262	0.9874	0.9772	0.807	0.7128	0.7382
0.015	0.025	59.81750315001129	0.960924221378368	0.8512350515463917	0.9842	0.9926	0.9348	0.9826	0.9752	0.7964	0.7118	0.7366
0.017	0.001	60.38726730961209	0.3476572605871577	0.7120041237113401	1.0	0.9946	0.9076	0.9616	0.902	0.5556	0.4168	0.6296
0.017	0.003	59.766882489640324	0.3583158563765771	0.7390041237113402	1.0	0.9946	0.956	0.9706	0.9282	0.577	0.4694	0.645
0.017	0.005	59.412893399396374	0.3879782720671373	0.7628979381443297	0.999	0.9942	0.9462	0.9744	0.9404	0.6074	0.5348	0.6622
0.017	0.007	59.806070885786085	0.42774333006072085	0.7820082474226804	0.9992	0.9934	0.956	0.9824	0.9566	0.6148	0.5774	0.699
0.017	0.009000000000000001	59.540287823741984	0.4672424239099397	0.7911536082474226	0.9988	0.995	0.9608	0.9806	0.9528	0.641	0.5942	0.7004
0.017	0.011	59.98244327310433	0.5108415684706406	0.8178721649484536	0.9976	0.9952	0.9674	0.9884	0.9772	0.673	0.6488	0.7336
0.017	0.013000000000000001	59.87887201069809	0.5562888111916725	0.8265577319587628	0.9982	0.9952	0.9688	0.9896	0.9762	0.6994	0.6638	0.7332
0.017	0.015	59.91488292639306	0.6085501452473693	0.8339072164948454	0.9984	0.9948	0.9342	0.9874	0.9786	0.722	0.6848	0.7484
0.017	0.017	59.74139598632469	0.6584697201721698	0.8384309278350514	0.9926	0.9916	0.959	0.9858	0.9762	0.7418	0.6892	0.7324
0.017	0.019000000000000003	59.643684495301386	0.7580925254530197	0.8492742268041236	0.9816	0.9958	0.9424	0.9892	0.9798	0.7846	0.7034	0.7378
0.017	0.021	59.85294586501375	0.7609280430777854	0.8529340206185567	0.9958	0.9918	0.9188	0.988	0.98	0.794	0.7226	0.733
0.017	0.023	59.7872662963492	0.8172281908945593	0.8578309278350514	0.9948	0.9904	0.9614	0.982	0.9746	0.811	0.7192	0.7288
0.017	0.025	59.7248673734254	0.8744449122869116	0.8453865979381442	0.9946	0.993	0.9306	0.9882	0.978	0.7988	0.6846	0.73
0.019000000000000003	0.001	60.0447422054481	0.3450140660116331	0.7090721649484536	1.0	0.9948	0.9238	0.959	0.8834	0.5334	0.43	0.6156
0.019000000000000003	0.003	60.175615677375326	0.3591531027132342	0.741340206185567	0.9996	0.9954	0.9298	0.9682	0.919	0.5948	0.4824	0.6424
0.019000000000000003	0.005	59.781279555369565	0.3820630114840719	0.7573319587628866	1.0	0.9964	0.9476	0.9766	0.9474	0.6158	0.5	0.6616
0.019000000000000003	0.007	59.70857842204925	0.4114855650789126	0.7618845360824742	0.9962	0.9964	0.9074	0.9778	0.9448	0.5958	0.5318	0.7082
0.019000000000000003	0.009000000000000001	59.84606555708646	0.4550712645471951	0.7711711340206185	0.999	0.9966	0.9534	0.9742	0.9406	0.5974	0.5618	0.6862
0.019000000000000003	0.011	59.913011673475694	0.4910763256082981	0.8056381443298968	0.997	0.9958	0.9352	0.9868	0.966	0.6696	0.6252	0.7218
0.019000000000000003	0.013000000000000001	59.54305105702341	0.5273225160346987	0.819601030927835	0.997	0.9932	0.9494	0.9838	0.9708	0.7102	0.6396	0.7362
0.019000000000000003	0.015	59.74648598560545	0.5751587049595881	0.8194649484536082	0.9966	0.9926	0.9594	0.9838	0.9704	0.6822	0.6554	0.7392
0.019000000000000003	0.017	59.70805148744874	0.6167347378628888	0.83429793814433	0.9896	0.9956	0.949	0.9898	0.9772	0.746	0.6682	0.7364
