t_p	t_off	vol_flow	p_control	gamma_global	gamma_local[0]	gamma_local[1]	gamma_local[2]	gamma_local[3]	gamma_local[4]	gamma_local[5]	gamma_local[6]	gamma_local[7]
0.004	0.004	59.7362012338846	0.4631712817502192	0.8391103092783505	0.9994	0.9956	0.968	0.9848	0.986	0.7926	0.6816	0.6446
0.004	0.005	59.654075586104106	0.561887306757074	0.8633474226804123	0.9994	0.9976	0.9196	0.9896	0.991	0.8272	0.7322	0.7308
0.004	0.006	59.62037715302139	0.69684236488173	0.9092938144329896	0.9984	0.9978	0.978	0.9946	0.995	0.8772	0.8424	0.759
0.004	0.007	59.461995152011575	0.8294828052957033	0.9298402061855668	0.9994	0.997	0.9656	0.993	0.9946	0.9146	0.889	0.7944
0.004	0.008	59.61899950400911	0.9317222841107514	0.9342061855670103	0.9984	0.996	0.9744	0.993	0.9962	0.9222	0.9034	0.781
0.004	0.009000000000000001	59.473865469417916	1.0098515086653035	0.9428350515463917	0.9986	0.9968	0.9804	0.9942	0.997	0.9338	0.92	0.7952
0.004	0.01	59.68456955840854	1.1183535824352941	0.9443402061855669	0.999	0.9938	0.9668	0.996	0.9964	0.9222	0.9312	0.8184
0.004	0.011	59.744170329126206	1.246262999491494	0.9510309278350516	0.9864	0.9974	0.971	0.9952	0.9964	0.9346	0.945	0.8274
0.004	0.012	59.6192217058847	1.395214682461613	0.9496762886597938	0.9956	0.993	0.9758	0.9956	0.9984	0.9302	0.9466	0.8118
0.004	0.013000000000000001	59.563288845095855	1.589877672597288	0.9455298969072163	0.9804	0.9958	0.9684	0.9952	0.9972	0.9194	0.938	0.8244
0.004	0.013999999999999999	59.29334586757259	1.6980805939429529	0.9322474226804124	0.9818	0.9946	0.965	0.993	0.9968	0.903	0.9086	0.8018
0.004	0.015	60.05095273640609	1.8344356143961416	0.9236525773195875	0.992	0.9954	0.954	0.9924	0.9952	0.8918	0.8916	0.7866
0.004	0.016	59.58876741367681	1.8926752581135926	0.9241639175257732	0.9968	0.9986	0.9728	0.9932	0.9954	0.8902	0.8894	0.7748
0.004	0.017	59.87930054892241	1.9825953028033245	0.9198639175257729	0.9964	0.9938	0.947	0.9942	0.9954	0.8942	0.8768	0.7848
0.004	0.018	59.65240749328366	2.0611279914196396	0.9103824742268041	0.9954	0.991	0.9564	0.9932	0.9932	0.8788	0.8518	0.7768
0.004	0.019	59.87410896876103	2.161525100677782	0.9063061855670101	0.991	0.99	0.9622	0.9926	0.9944	0.8762	0.839	0.7692
0.005	0.003	59.53623264727109	0.39277354291156347	0.7769670103092784	1.0	0.9964	0.915	0.9816	0.966	0.6616	0.5506	0.6598
0.005	0.004	59.709332319969924	0.4408509137840967	0.8273731958762887	0.9998	0.997	0.9222	0.984	0.9816	0.7468	0.6662	0.6962
0.005	0.005	59.65385655897265	0.5232857665821794	0.8502556701030927	1.0	0.9962	0.9438	0.988	0.9846	0.779	0.715	0.7166
0.005	0.006	59.68680109511105	0.6129831552738446	0.8806525773195876	0.9992	0.997	0.93	0.9904	0.9894	0.8246	0.7996	0.7358
0.005	0.007	59.8516872519719	0.7189234548715683	0.9008443298969072	0.9942	0.9974	0.9788	0.9894	0.9886	0.8676	0.8536	0.685
0.005	0.008	59.84875419376881	0.80013576992426	0.9107494845360823	0.9984	0.9952	0.9218	0.9904	0.9908	0.878	0.8654	0.7836
0.005	0.009000000000000001	59.95857725126938	0.8674428628133958	0.9262020618556699	0.9776	0.9972	0.979	0.9948	0.9936	0.9018	0.889	0.7794
0.005	0.01	59.699234852477574	0.9472390327807626	0.9296762886597937	0.9982	0.9962	0.9726	0.9954	0.9916	0.8862	0.905	0.801
0.005	0.011	59.81721587472555	1.0414425478385787	0.9229134020618555	0.9994	0.9944	0.8896	0.996	0.9932	0.8934	0.9112	0.7904
0.005	0.012	59.676573480758634	1.150444178484671	0.9330257731958763	0.9988	0.997	0.9654	0.9932	0.9962	0.902	0.915	0.786
0.005	0.013000000000000001	59.5117333531871	1.285338570805234	0.9324216494845359	0.9946	0.9934	0.9796	0.9936	0.9966	0.9034	0.9098	0.7808
0.005	0.013999999999999999	59.76351931255961	1.4211392300032994	0.9201938144329898	0.9968	0.9962	0.957	0.9958	0.9966	0.8792	0.8898	0.7698
0.005	0.015	59.86614304231495	1.5282267816219979	0.9174298969072164	0.9756	0.9958	0.9624	0.994	0.9948	0.8772	0.885	0.7672
0.005	0.016	59.745228960546136	1.6053314399461103	0.9151381443298969	0.999	0.9954	0.9582	0.993	0.9948	0.878	0.8684	0.776
0.005	0.017	59.416527979323696	1.6608012166218598	0.9144257731958763	0.997	0.9972	0.9716	0.994	0.9958	0.8728	0.868	0.7638
0.005	0.018	59.70268373740976	1.7321920595843308	0.9020123711340207	0.9948	0.9916	0.9642	0.9916	0.9926	0.8576	0.8392	0.7584
0.005	0.019	59.72471342477451	1.8019904814344225	0.8981309278350516	0.9956	0.992	0.9596	0.9918	0.994	0.8704	0.827	0.73
0.006	0.003	59.4856818233011	0.38114600275462174	0.7851247422680412	0.9976	0.995	0.9338	0.9782	0.962	0.6924	0.5648	0.6422
0.006	0.004	59.891178795272914	0.4214454964242356	0.8097845360824741	1.0	0.9944	0.9654	0.9824	0.976	0.6862	0.6288	0.6894
0.006	0.005	59.80991814501429	0.48563727109012134	0.8347577319587627	1.0	0.9944	0.9268	0.9908	0.9838	0.7464	0.6928	0.695
0.006	0.006	59.74307836781842	0.549759483848285	0.8560432989690722	0.999	0.9968	0.9382	0.9884	0.9898	0.7744	0.7396	0.7228
0.006	0.007	59.76596035383245	0.6296391565573061	0.8766546391752575	0.9998	0.997	0.9692	0.9894	0.9866	0.8076	0.7904	0.7146
0.006	0.008	59.68406484276377	0.7007986156207477	0.8911092783505155	0.9986	0.9968	0.9756	0.9918	0.9874	0.8288	0.8148	0.7488
0.006	0.009000000000000001	59.683053826394215	0.7584894042396575	0.8978268041237113	0.9984	0.9954	0.9684	0.992	0.9904	0.8388	0.8398	0.743
0.006	0.01	59.69604149965077	0.8197506082353333	0.907160824742268	0.999	0.9954	0.9712	0.9924	0.989	0.8558	0.8578	0.7578
0.006	0.011	59.711309912521024	0.8948886891037996	0.9095608247422681	0.9956	0.9974	0.9694	0.9946	0.9914	0.8522	0.8712	0.7532
0.006	0.012	59.96546708240928	0.9860225841830821	0.9199154639175257	0.9996	0.9956	0.969	0.9946	0.9928	0.8722	0.8898	0.7718
0.006	0.013000000000000001	59.55145820612859	1.0829343327396852	0.9158979381443298	0.9818	0.9956	0.9588	0.9936	0.9952	0.8714	0.8844	0.765
0.006	0.013999999999999999	59.808240530628005	1.3982171653025999	0.9208876288659793	0.9898	0.9936	0.9674	0.9938	0.996	0.8852	0.8936	0.7558
0.006	0.015	59.70176795010853	1.5132725496732016	0.9142917525773195	0.9596	0.997	0.9436	0.992	0.9936	0.877	0.8782	0.7812
0.006	0.016	60.182526142062024	1.3774446954652995	0.9055670103092782	0.9968	0.992	0.957	0.9928	0.9938	0.8638	0.8478	0.7646
0.006	0.017	59.89223583925618	1.4218857785759809	0.9023567010309279	0.9978	0.9956	0.9466	0.9956	0.9936	0.8718	0.8434	0.7346
0.006	0.018	59.65251541518574	1.498246268098163	0.8988402061855669	0.9898	0.993	0.9772	0.993	0.9934	0.8478	0.8336	0.745
0.006	0.019	59.31896727145912	1.5617832299643106	0.897182474226804	0.9952	0.9938	0.9712	0.9914	0.9918	0.8624	0.8222	0.7356
0.007	0.003	59.80047299649452	0.3764136536304536	0.7717711340206187	1.0	0.9962	0.9616	0.9682	0.955	0.6592	0.5454	0.6066
0.007	0.004	59.64629694932391	0.4047723070018054	0.7739948453608247	0.9992	0.9948	0.9032	0.9796	0.9618	0.6546	0.564	0.6334
0.007	0.005	59.54520164871532	0.4588784872667479	0.8155783505154639	1.0	0.9964	0.953	0.9836	0.9828	0.7084	0.658	0.6418
0.007	0.006	59.81892206437773	0.5150573889947695	0.835601030927835	0.9938	0.9958	0.9566	0.984	0.9834	0.7366	0.7024	0.6782
0.007	0.007	59.5863771609896	0.5763608656851438	0.8427484536082473	0.9982	0.9968	0.9732	0.9866	0.979	0.739	0.7342	0.6518
